cd type,name,slug,latin_name,short_description,long_description,difficulty,lifecycle,watering_req,climate_req,space_req,pests_req,fertilizers_req,sowing_pot,sowing_soil,sowing_hydroponics,related_page,icon_emoji
Cultivo,Lechuga,lechuga,Lactuca sativa,"Crujiente y refrescante, ideal para ensaladas rápidas y frescas.","La lechuga es una hortaliza de hoja verde que se cultiva por sus hojas tiernas y sabrosas. Es un cultivo de ciclo corto, perfecto para huertos urbanos y principiantes por su fácil manejo y rápido crecimiento.",Fácil,"Siembra;Germinación (5-10 días);Crecimiento de hojas (30-40 días);Cosecha","Riego frecuente pero moderado, mantener el suelo húmedo.","Clima templado, evitar calor extremo (15-20°C).","20-30 cm entre plantas.","Pulgones, babosas y caracoles.","Compost o abono rico en nitrógeno al inicio del cultivo.","Macetas de al menos 20cm de profundidad. Usar sustrato ligero.","Siembra directa en surcos poco profundos, o en semilleros para trasplante.","Excelente para sistemas NFT y de raíz flotante.","/cultivos/lechuga",🥬
Cultivo,Tomate,tomate,Solanum lycopersicum,"Fruto jugoso y versátil, esencial en la cocina colombiana.","El tomate es una de las hortalizas más populares y cultivadas en el mundo. Requiere más cuidados que la lechuga, como tutores para sostener su crecimiento y podas regulares, pero la recompensa es una cosecha abundante y sabrosa.",Media,"Siembra;Germinación (6-14 días);Crecimiento vegetativo y floración (40-60 días);Fructificación y maduración (60-90 días);Cosecha","Riego regular y profundo, especialmente durante la floración y fructificación. Evitar mojar las hojas.","Clima cálido y soleado, necesita al menos 6 horas de sol directo (21-29°C).","40-60 cm entre plantas, necesita tutores o jaulas.","Mosca blanca, araña roja, mildiu.","Abono equilibrado rico en potasio y fósforo durante la floración.","Macetas grandes, de mínimo 40cm de profundidad. Buen drenaje es crucial.","Trasplantar las plántulas cuando tengan 4-6 hojas verdaderas.","Apto para sistemas de goteo con sustratos como fibra de coco o perlita.","/cultivos/tomate",🍅
Cultivo,Maíz,maiz,Zea mays,"Un pilar de la alimentación colombiana, desde arepas hasta mazamorra.","El maíz es un cultivo fundamental en la cultura y dieta de Colombia. Su cultivo a gran escala es complejo, pero es posible tener una pequeña plantación en un huerto grande, prestando atención a la polinización para obtener buenas mazorcas.",Difícil,"Siembra;Germinación (7-10 días);Crecimiento rápido (30-60 días);Polinización y formación de mazorca (60-80 días);Cosecha (90-120 días)","Requiere mucha agua, especialmente durante la polinización y llenado de grano.","Clima cálido y mucho sol. Sensible a las heladas.","Plantar en bloques (ej. 4x4) en lugar de una sola fila para asegurar la polinización por viento. 30-40 cm entre plantas.","Gusano cogollero, pájaros.","Muy exigente en nitrógeno. Requiere abonado fuerte.","No recomendado para macetas debido a su tamaño y necesidad de polinización cruzada.","Siembra directa en el suelo cuando la temperatura sea consistentemente cálida.","No es una opción común o práctica para el cultivo de maíz.","/cultivos/maiz",🌽
Cultivo,Papa,papa,Solanum tuberosum,"Tubérculo versátil y fundamental en la gastronomía andina.","La papa es un cultivo esencial en las zonas frías de Colombia. Se cultiva por sus tubérculos ricos en almidón. Requiere suelos bien drenados y es sensible a la humedad excesiva, que puede causar enfermedades.",Media,"Siembra de tubérculos;Brotación (15-25 días);Crecimiento vegetativo (30-50 días);Tuberización (50-90 días);Cosecha (100-140 días)","Riego moderado. Mantener humedad sin encharcar. Suspender riego antes de la cosecha.","Clima frío a templado (10-20°C). Sensible a heladas tardías.","30-40 cm entre plantas, en surcos de 70-90 cm de separación.","Gota (Phytophthora infestans), pulguilla.","Rico en fósforo y potasio para el desarrollo de tubérculos.","Posible en macetas o sacos muy grandes (más de 50L), aporcando tierra a medida que crece.","Sembrar trozos de papa con ""ojos"" (brotes) en surcos y cubrir con tierra.","Poco común, pero posible en sistemas de aeroponía.","/cultivos/papa",🥔
Cultivo,Café,cafe,Coffea arabica,"El grano insignia de Colombia, famoso por su aroma y sabor suave.","El café es un arbusto perenne que produce las famosas cerezas de café. Es un cultivo de largo plazo que requiere condiciones específicas de altitud y clima. Es el corazón de la economía en muchas regiones montañosas del país.",Difícil,"Siembra (almácigo);Trasplante (6-12 meses);Crecimiento (2-3 años);Primera floración y cosecha (a partir del 3er año);Producción continua","Riego constante, especialmente en épocas secas. Buen drenaje es vital.","Zonas montañosas subtropicales (1.200-1.800 msnm), con temperaturas de 18-24°C y sombra parcial.","2-3 metros entre plantas.","Broca del café, roya.","Abonos ricos en nitrógeno, fósforo y potasio, aplicados en ciclos.","Se puede mantener como planta ornamental en macetas grandes, pero la producción será limitada.","Se siembra en almácigos y luego se trasplantan las plántulas al campo definitivo.","No es viable para producción comercial.","/cultivos/cafe",☕
Cultivo,Banano,banano,Musa paradisiaca,"Fruta tropical energética y rica en potasio, cultivada en zonas cálidas.","La planta de banano es una hierba gigante que produce racimos de fruta. Es un cultivo de rápido crecimiento en climas tropicales que requiere grandes cantidades de agua y nutrientes para ser productivo.",Media,"Siembra de cormos o hijuelos;Crecimiento vegetativo (9-12 meses);Floración y formación del racimo;Cosecha del racimo (3-4 meses después de floración)","Abundante y regular. Es una planta que consume mucha agua.","Clima cálido y húmedo (26-30°C). No tolera el frío.","Mínimo 3x3 metros por planta.","Sigatoka negra, picudo negro.","Muy exigente en potasio y nitrógeno. Requiere fertilización constante.","No práctico para producción de fruta, solo como ornamental muy grande.","Se siembran los cormos o hijuelos directamente en el suelo bien preparado.","Inviable a escala productiva.","/cultivos/banano",🍌
Funcionalidad,Mapa Interactivo,"",,"Explora cultivos ideales para cada zona de Colombia.","Permite a los usuarios navegar por un mapa de Colombia y ver marcadores de diferentes cultivos en las regiones donde son comunes. Al hacer clic en un marcador, el usuario es redirigido a la ficha técnica del cultivo.",Fácil,"",,,,,,,,,,"/",""
Funcionalidad,Detector de plantas por IA,"",,"Identifica plantas y evalúa su salud a partir de una foto.","El usuario sube una foto de una planta. La IA la analiza y devuelve el nombre de la especie, una evaluación de su salud (sana o con problemas) y recomendaciones de cuidado como riego y luz solar.",Fácil,"",,,,,,,,,,"/detectar",""
Recurso,Guía para Docentes: Mi Primera Huerta Escolar,"",,"Manual para iniciar un proyecto de huerta escolar.","Un manual completo para iniciar un proyecto de huerta en instituciones educativas de primaria y secundaria.",N/A,"",,,,,,,,,,"/guias/guia-huerta-escolar.pdf",""
Recurso,Proyecto de Aula: Cultivos por Temporada,"",,"Actividades para enseñar sobre ciclos de siembra.","Actividades y proyectos gamificados para enseñar sobre los ciclos de siembra y cosecha según la temporada.",N/A,"",,,,,,,,,,"/guias/proyecto-cultivos-temporada.pdf",""
Recurso,Mapa de Cultivos para Colorear,"",,"Recurso didáctico para niños sobre la diversidad agrícola.","Recurso didáctico para que los más pequeños aprendan sobre la diversidad agrícola de las regiones de Colombia.",N/A,"",,,,,,,,,,"/guias/mapa-cultivos-colorear.pdf",""
Cultivo,Cacao,cacao,Theobroma cacao,"La base del chocolate, un tesoro de las zonas tropicales húmedas.","El cacao es un árbol tropical del que se obtienen los granos para hacer chocolate. Requiere un clima cálido, húmedo y sombra para prosperar, similar al café.",Difícil,"Siembra;Crecimiento (3-5 años);Floración y cosecha (continua después de 5 años)","Riego regular, no tolera la sequía.","Clima tropical húmedo (20-30°C), requiere sombra de árboles más grandes.","3-4 metros entre árboles.","Monilia, escoba de bruja.","Abonos orgánicos y fertilizantes balanceados.","Muy difícil, solo como curiosidad ornamental.","Se siembran semillas o plántulas injertadas en el campo definitivo.","Inviable.","/cultivos/cacao",""
Cultivo,Aguacate,aguacate,Persea americana,"Fruto cremoso y nutritivo, ""oro verde"" de Colombia.","El aguacate es un árbol que produce un fruto muy apreciado a nivel mundial. Existen muchas variedades adaptadas a diferentes climas, desde templados a cálidos. El buen drenaje del suelo es el factor más crítico para su éxito.",Media,"Siembra;Crecimiento a árbol productivo (3-5 años si es injertado);Floración y cuajado de frutos;Cosecha","Riego profundo y poco frecuente. Evitar encharcamiento a toda costa.","Varía según la variedad, pero generalmente climas templados a cálidos sin heladas.","5-8 metros entre árboles.","Tristeza del aguacatero (hongo de raíz), barrenadores del tronco.","Fertilizantes balanceados, con énfasis en nitrógeno en etapas jóvenes y potasio en producción.","Posible en macetas muy grandes (más de 100L) pero poco productivo.","Plantar árboles injertados para asegurar la calidad del fruto.","Inviable.","/cultivos/aguacate",""
Funcionalidad,Comunidad de Agricultores,"",,"Foro o red social para conectar a los usuarios.","Una futura sección donde los usuarios puedan registrarse, compartir fotos de sus huertos, hacer preguntas y responder dudas de otros miembros de la comunidad. Fomentaría el aprendizaje colaborativo.",N/A,"",,,,,,,,,,"/comunidad",""
